Player ID,Player Type,First Name,Last Name,Earnings,Capped
9,Receiver,Lanie,Bady,$39.25,False,
7,Receiver,Olivia,Bragg,$18.25,False,
40,Sender,Herb,Brinkley,$125.00,True,
30,Receiver,Santana,Calabrese,$26.75,False,
22,Receiver,Alejandra,Calley,$6.75,False,
32,Receiver,Kurt,Calley,$125.00,True,
21,Receiver,Daniel,Castelluccio,$113.75,False,
5,Sender,Jessie,Clowers,$82.25,False,
11,Sender,Fernando,Colten,$13.75,False,
36,Receiver,Jessie,Cribb,$125.00,True,
33,Receiver,Genna,Dandridge,$11.50,False,
6,Receiver,Marcellus,Davie,$63.75,False,
37,Receiver,Matthew,Dubbin,$9.50,False,
1,Sender,Marcie,Eschief,$72.25,False,
10,Sender,Patty,Frazier,$36.75,False,
20,Receiver,Wayne,Frazier,$125.00,True,
24,Sender,Judith,Hannem,$43.00,False,
34,Receiver,Jeffrey,Hannem,$100.00,False,
17,Receiver,Kenneth,Harter,$29.00,False,
27,Sender,Stanley,Harter,$63.00,False,
29,Receiver,Louisa,Honn,$34.00,False,
39,Receiver,Jessie,Honn,$94.00,False,
14,Sender,Jack,Karageorge,$26.25,False,
12,Receiver,Marcie,Kretschmer,$13.75,False,
2,Sender,Valene,Laferriere,$125.00,True,
35,Receiver,Mathew,Landor,$125.00,True,
4,Sender,Martin,Mathony,$54.75,False,
38,Receiver,Kay,Moffet,$72.75,False,
16,Receiver,Garret,Moreland,$33.25,False,
15,Sender,Alana,Pitzen,$12.25,False,
25,Sender,Althea,Pitzen,$125.00,True,
31,Sender,Walter,Raspberry,$51.50,False,
3,Sender,Ralph,Richter,$63.00,False,
13,Sender,Soo,Richter,$15.25,False,
8,Sender,Odessa,Selke,$101.75,False,
18,Receiver,Clare,Selke,$72.50,False,
28,Sender,Max,Terrio,$65.75,False,
19,Sender,Carey,Valenzula,$14.00,False,
26,Sender,Quinton,Vandyke,$125.00,True,
23,Sender,Ha,Webb,$44.00,False,
